(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
+----------------------------------------------------+-------+-------+--------+
|.../Ruby/Gems/1.8/gems/chronic-0.2.3/lib/chronic.rb |   125 |    72 |  47.2% |
|...ms/1.8/gems/chronic-0.2.3/lib/chronic/chronic.rb |   239 |   130 |  23.1% |
|...ms/1.8/gems/chronic-0.2.3/lib/chronic/grabber.rb |    26 |    20 |  20.0% |
|...s/1.8/gems/chronic-0.2.3/lib/chronic/handlers.rb |   469 |   340 |  10.0% |
|...ms/1.8/gems/chronic-0.2.3/lib/chronic/ordinal.rb |    40 |    33 |  24.2% |
|...ms/1.8/gems/chronic-0.2.3/lib/chronic/pointer.rb |    27 |    22 |  22.7% |
|...s/1.8/gems/chronic-0.2.3/lib/chronic/repeater.rb |   115 |   101 |  11.9% |
|...onic-0.2.3/lib/chronic/repeaters/repeater_day.rb |    47 |    37 |  18.9% |
|...0.2.3/lib/chronic/repeaters/repeater_day_name.rb |    46 |    34 |  23.5% |
|....3/lib/chronic/repeaters/repeater_day_portion.rb |    93 |    82 |  13.4% |
|....2.3/lib/chronic/repeaters/repeater_fortnight.rb |    65 |    56 |  12.5% |
|...nic-0.2.3/lib/chronic/repeaters/repeater_hour.rb |    52 |    43 |  16.3% |
|...c-0.2.3/lib/chronic/repeaters/repeater_minute.rb |    52 |    43 |  16.3% |
|...ic-0.2.3/lib/chronic/repeaters/repeater_month.rb |    61 |    49 |  18.4% |
|...2.3/lib/chronic/repeaters/repeater_month_name.rb |    93 |    81 |  11.1% |
|...c-0.2.3/lib/chronic/repeaters/repeater_season.rb |    23 |    17 |  35.3% |
|....3/lib/chronic/repeaters/repeater_season_name.rb |    24 |    20 |  45.0% |
|...c-0.2.3/lib/chronic/repeaters/repeater_second.rb |    36 |    27 |  25.9% |
|...nic-0.2.3/lib/chronic/repeaters/repeater_time.rb |   117 |    95 |  13.7% |
|...nic-0.2.3/lib/chronic/repeaters/repeater_week.rb |    68 |    60 |  11.7% |
|...-0.2.3/lib/chronic/repeaters/repeater_weekend.rb |    60 |    52 |  13.5% |
|...nic-0.2.3/lib/chronic/repeaters/repeater_year.rb |    58 |    46 |  13.0% |
|...ems/1.8/gems/chronic-0.2.3/lib/chronic/scalar.rb |    74 |    63 |  22.2% |
|.../1.8/gems/chronic-0.2.3/lib/chronic/separator.rb |    76 |    65 |  24.6% |
|.../1.8/gems/chronic-0.2.3/lib/chronic/time_zone.rb |    22 |    20 |  25.0% |
|....8/gems/chronic-0.2.3/lib/numerizer/numerizer.rb |   103 |    71 |  63.4% |
|.../gnumarcelo-campaigning-0.8.2/lib/campaigning.rb |     1 |     1 | 100.0% |
|...campaigning-0.8.2/lib/campaigning/campaigning.rb |    36 |    24 |  54.2% |
|...aigning-0.8.2/lib/campaigning/helpers/helpers.rb |    19 |    13 |  30.8% |
|...-0.8.2/lib/campaigning/soap/generated/default.rb |  1399 |   862 |  51.7% |
|.../lib/campaigning/soap/generated/defaultDriver.rb |   349 |   339 |   5.0% |
|...aigning/soap/generated/defaultMappingRegistry.rb |  1280 |  1139 | 100.0% |
|...igning-0.8.2/lib/campaigning/soap/soap_driver.rb |    26 |    15 |  53.3% |
|...paigning-0.8.2/lib/campaigning/types/campaign.rb |   188 |    71 |  23.9% |
|...ampaigning-0.8.2/lib/campaigning/types/client.rb |   312 |   102 |  21.6% |
|...-campaigning-0.8.2/lib/campaigning/types/list.rb |   241 |    97 |  36.1% |
|...igning-0.8.2/lib/campaigning/types/subscriber.rb |   185 |    88 |  22.7% |
|...Gems/1.8/gems/httpclient-2.1.4/lib/httpclient.rb |  1009 |   505 |  25.1% |
|...1.8/gems/httpclient-2.1.4/lib/httpclient/auth.rb |   510 |   339 |  20.1% |
|...ms/httpclient-2.1.4/lib/httpclient/connection.rb |    84 |    33 |  24.2% |
|...8/gems/httpclient-2.1.4/lib/httpclient/cookie.rb |   448 |   365 |  17.8% |
|...1.8/gems/httpclient-2.1.4/lib/httpclient/http.rb |   863 |   584 |  41.4% |
|.../gems/httpclient-2.1.4/lib/httpclient/session.rb |   855 |   684 |  19.0% |
|.../gems/httpclient-2.1.4/lib/httpclient/timeout.rb |   136 |    92 |  38.0% |
|...1.8/gems/httpclient-2.1.4/lib/httpclient/util.rb |    86 |    39 |  33.3% |
|...ms/ruby-debug-base-0.10.0/lib/ruby-debug-base.rb |   238 |   164 |  26.2% |
|...1.8/gems/ruby-debug-ide-0.1.10/lib/ruby-debug.rb |   139 |   100 |  35.0% |
|.../ruby-debug-ide-0.1.10/lib/ruby-debug/command.rb |   139 |   116 |  43.1% |
|...de-0.1.10/lib/ruby-debug/commands/breakpoints.rb |   129 |   112 |  25.0% |
|...ide-0.1.10/lib/ruby-debug/commands/catchpoint.rb |    40 |    36 |  27.8% |
|...ug-ide-0.1.10/lib/ruby-debug/commands/control.rb |   129 |   107 |  50.5% |
|...debug-ide-0.1.10/lib/ruby-debug/commands/eval.rb |    64 |    54 |  64.8% |
|...ebug-ide-0.1.10/lib/ruby-debug/commands/frame.rb |   153 |   133 |  28.6% |
|...debug-ide-0.1.10/lib/ruby-debug/commands/load.rb |    18 |    17 |  23.5% |
|...g-ide-0.1.10/lib/ruby-debug/commands/stepping.rb |   108 |    90 |  40.0% |
|...ug-ide-0.1.10/lib/ruby-debug/commands/threads.rb |   153 |   130 |  37.7% |
|...-ide-0.1.10/lib/ruby-debug/commands/variables.rb |   136 |   115 |  28.7% |
|...bug-ide-0.1.10/lib/ruby-debug/event_processor.rb |    45 |    37 |  27.0% |
|...s/ruby-debug-ide-0.1.10/lib/ruby-debug/helper.rb |    26 |    21 |  14.3% |
|...uby-debug-ide-0.1.10/lib/ruby-debug/interface.rb |    39 |    28 |  32.1% |
|...uby-debug-ide-0.1.10/lib/ruby-debug/processor.rb |   145 |   125 |  20.0% |
|...y-debug-ide-0.1.10/lib/ruby-debug/xml_printer.rb |   244 |   203 |  43.3% |
|.../Gems/1.8/gems/rubyzip-0.9.1/lib/zip/ioextras.rb |   155 |   113 |  23.0% |
|...ems/1.8/gems/rubyzip-0.9.1/lib/zip/stdrubyext.rb |   111 |    74 |  32.4% |
|.../Ruby/Gems/1.8/gems/rubyzip-0.9.1/lib/zip/zip.rb |  1847 |  1396 |  23.9% |
|.../1.8/gems/rubyzip-0.9.1/lib/zip/zipfilesystem.rb |   609 |   436 |  31.4% |
|...Gems/1.8/gems/spicycode-rcov-0.8.2.1/lib/rcov.rb |   990 |   603 |   2.8% |
